species,description,image
bawwar,"Distinctive warbler with diagnostic black-and-white stripes over entire body. Creeps along branches like a nuthatch, searching for insects. Favors areas with large, deciduous trees. Breeding male Blackpoll Warbler is potentially confusing, but note different behavior and face pattern.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63666541/900
belkin1,"Stocky and large-headed with a shaggy crest. Bill is long, straight, thick, and pointed. Powder blue above with white underparts and blue breast band. Females have additional rusty band across belly. Almost always solitary, perched along edges of streams, lakes, and estuaries. Flies along rivers and shorelines giving loud rattling calls. Hunts for fish by plunging headfirst into the water, either directly from a perch or hovering.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65764731/900
belspa2,"Brown sparrow with gray head; very similar to Sagebrush Sparrow and once considered the same species. Darker than Sagebrush Sparrow with slightly different face pattern. Look for relatively dark gray head with white eyering, white spot in front of eye, and white mustache bordered by broad black stripe. Flanks brownish with diffuse streaking; belly and breast white. Found in shrubby expanses of sagebrush. Perches conspicuously when singing; otherwise stays low and hidden. Tail often cocked up. In winter,  found with Sagebrush Sparrow. Song is a jumble of mechanical, musical notes, faster than Sagebrush Sparrow.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171505231/900
bewwre,"Long-tailed, rather slender wren. Dark brown above and pale grayish below with whitish eyebrow. Slender bill is slightly decurved. Favors dry scrubby areas, thickets in open country, and open woodlands near rivers and streams. Also at home in gardens, residential areas, and parks in cities and suburbs. Song is variable, but usually includes high-pitched buzzes and musical trills.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68034931/900
bkbcuc,"Slender, long-tailed bird more often heard than seen. White below and brown above, with black bill. Separated from Yellow-billed Cuckoo by bill color, uniformly brown outer wings (not rufous) and smaller white spots on underside of tail. Feeds mainly on caterpillars and other insects. Found mostly in deciduous woodlands, especially areas with thick secondary growth. Often sits motionless for long periods of time and is difficult to spot. Listen for its song, a repeated series of soft ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66038761/900
bkbmag1,"Conspicuous, large black-and-white relative of crows and jays. Often spotted along roadsides in open country, towns, and fields. Exceptionally lengthy tail is longer than the body. In flight, look for white wingtips. Social and inquisitive. Often gathers in groups to feed on carrion.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70580971/900
bkbwar,"Always a fan favorite; known for its flame-orange throat that seems to glow even through fog and rain. Triangular black cheek patch and oddly shaped white wing patch are also distinctive. Females and immatures are washed-out versions of males—look for yellowish throat and triangular dark cheek patch. Prefers coniferous or mixed forests, but can be found in any wooded habitat during migration. Winters in mountains of northern South America. Forages for insects, often near treetops.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64801421/900
bkcchi,"Tiny, plump-bodied, big-headed bird is a familiar woodland resident and backyard visitor in the northern U.S. and Canada. Gray overall with buffy flanks and a contrasting head pattern: black cap, white cheek, and black throat. Short, stubby bill is used for hammering open seeds. Often the core of mixed flocks of songbirds. Visits feeders. Nearly identical to Carolina Chickadee, but note voice and range.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60411301/900
bkchum,"Readily comes to sugar water feeders and flower gardens; found in a variety of wooded habitats  across much of the western U.S and northern Mexico. Males have purple-and-black throat, greenish upperparts, dingy whitish belly and dark tail. Females are green above and whitish below, lacking any buffy-orange tones. Tends to pump its tail more than other hummingbirds. Similar in shape and plumage to Ruby-throated Hummingbird, but very little overlap in range (mainly Texas). Separate males by throat color; females and immatures nearly identical.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171636111/900
bkhgro,"Males are black-and-orange like an oriole, but stockier with short, thick bill. Larger than a sparrow. Females and immature males have orangey wash across breast with fine dark streaking on sides. Bill is bicolored, darker above and paler below. Found in woodlands including mountain forests, thickets along desert streams, and backyards. Regularly visits feeders. Winters in Central America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67447491/900
bkpwar,"Relatively large warbler of the boreal forest. Breeding males can be confused with Black-and-white Warbler. Note different head pattern; solid black cap and bright white cheek. Breeding females are a washed out, streakier version of male. Immatures are quite different: lemony-yellow head and breast with blurry streaking, white wingbars, and white undertail coverts. Distinctive orange feet helps distinguish Blackpoll from similar immature Bay-breasted and Pine Warblers. Found in any forested habitat during migration. Favors conifers, especially stunted spruce at higher elevations for breeding. Known for its exceptional migration over the Atlantic Ocean; can travel from East Coast of U.S. to South America in one nonstop flight!

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64804711/900
bktspa,"Evidence that not all sparrows are dull, Black-throated Sparrow is a sharp-dressed denizen of open, shrubby desert. Gray-brown overall with distinctive black-and-white face pattern, dark tail with white corners. Streakier juvenile shows a hint of adult's face pattern, especially white eyebrow. Typically found on or near the ground in pairs or small flocks. Tinkling song with short trills and chips. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/32803411/900
blkpho,"Small, sooty black flycatcher with clean white belly. Sits in the open on low perches to scan for insects, while pumping its tail up and down. Often near a water source whether it's a river, suburban creek, or salt-sprayed rocks and cliffs. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65681201/900
blugrb1,"Larger version of similar Indigo Bunting, with thicker bill. Adult males are dark blue with rufous wingbars. Females are rich plain brown. Found in overgrown fields with hedgerows and bushy areas. Occasionally visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67447361/900
blujay,"Blue above, light gray below. Black and white markings on wings and tail. Larger than a robin, smaller than a crow. Crest and long tail. Noisy and conspicuous in areas with large trees. Regularly visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/59859171/900
bnhcow,"Stout bill. Short tail and stocky body. Males are glossy black with chocolate brown head. Females are gray-brown overall, without bold streaks, but slightly paler throat. Juveniles streaked brown. Found in open woods, farmland, and stockyards. Forages by walking on the ground. Often in flocks with other blackbirds in winter. Visits feeders. Unpopular due to their parasitic habit of laying eggs in nests of other birds.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67362321/900
boboli,"Breeding male is distinctive with black body, white rump, and creamy nape. Females and nonbreeders are drastically different, yellow-brown with fine streaking on breast sides, and stripes on head. Smaller than Red-winged Blackbird with shorter bill. Spiky tail feathers. In the blackbird family, although often mistaken as a sparrow. Breeds in open fields. Listen for male's bubbly song. Often in flocks during fall migration; departs early for wintering grounds in South America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67379741/900
bongul,"Small, pale gull with white underparts and gray back. Thin, black bill. Often seen in flight. Note unique wing pattern: several outer primaries white with black tips. Red legs. Adults in breeding plumage show black head. Nonbreeding and immatures have white head with black spot behind eye. Immatures also show white primaries with blackish-brown markings on the upperwing. Often seen in large flocks in coastal areas, bays, coves, and lakes during migration and winter. Feeds on small fish, invertebrates, and insects, often picking them off the surface in flight. Breeds near water in the boreal forest; the only gull that makes a stick nest.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/169495571/900
brdowl,"Large owl, mottled brown and white. Rounded head lacks ear tufts. Black eyes. Listen for its instantly recognizable “Who cooks for you? Who cooks for you all” call. Favors large, mature forests with deciduous and coniferous trees, often near water. Hunts small animals at night; however, is more active during the day than other owls.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60394861/900
brebla,"Breeding males are glossy black with purplish head and greenish sheen on body. Nonbreeding males have pale eyebrows and staring yellow eye. Females are plain dark brown and typically have dark eyes. Forages by walking on ground. Sometimes in mixed flocks with other blackbirds at feedlots. Also, walks along parking lots, golf courses, or roadsides. Females similar to Brown-headed Cowbird, but with longer, thinner bill and longer tail than cowbird.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67373991/900
brespa,"Small, drab sparrow of scrubby areas in western North America, from Alaska to Mexico. Slender and long-tailed, similar in shape and size to Chipping and Clay-colored Sparrows. Note the pale gray nape, pale lores, and plain facial pattern. Breeds mostly in sagebrush; winters in loose flocks in any brushy or grassy area, often with other sparrows. Song is a long series of buzzy, reedy notes mixed with trills; tones and long duration of song are unique.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64973431/900
brncre,"Tiny, lanky woodland songbird, streaked brown and buff above, blends easily into bark. Reminiscent of a woodpecker as it hitches on the side of trees, probing for insects and spiders. Moves with short, jerky motions as it spirals up trees, bracing itself with long, stiff tail. Occasionally feeds on suet.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68037151/900
brnthr,"Longer-tailed and slightly larger than a robin. Rich rufous upperparts and heavy dark streaking on whitish underparts. Yellow eyes. Often skulks in thick vegetation in scrubby fields and forest edges. Mimics other species in its song, delivering a complex string of paired phrases.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67456051/900
brthum,"Common hummingbird of high elevations. Breeds in open woodland with meadows and scrub. In winter, found at lower elevations. Male is distinctive in range with beautiful rosy-red throat and glistening green upperparts. Female is duller with buffy sides and speckled throat. Note broadly rounded tail feathers with restricted rufous. Feeds on nectar and small insects. Visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/113813231/900
brwhaw,"Rather small, compact hawk; about the size of Red-shouldered Hawk, smaller than Red-tailed Hawk. Adults are solid brown above, barred reddish-brown below with bold black-and-white tail bands. Immatures similar, but with blotchier markings below and thin, diffuse tail bands. Distinctive shape in flight: note the short tail, straight leading edge of wing, and bulging secondaries in flight. Listen for high-pitched, piercing whistle coming from woodlands during breeding season. Known for forming massive flocks called kettles during migration, when it travels from the U.S. and Canada all the way to winter in Central and South America.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/71534291/900
btbwar,"Striking warbler with vastly different male and female plumages. Breeding males unique deep blue above with black face and sides, and white belly. Females are plain brownish-olive with dingy buffy underparts and subtle face pattern. Look for small white patch on the wing. Forages for insects in lower and mid-stories of mature forest, favoring hills with thick undergrowth. Found in nearly any wooded or shrubby habitat during migration.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64806111/900
btnwar,"Bright yellow face with olive cheeks, crown, and back. Only breeding males have solid black throat. For all plumages, look for dark streaks on white flanks and yellow vent. Breeds in mixed coniferous forests. During migration, mostly found in wooded areas with tall trees, often in flocks with other warblers. Can be in less forested areas. Winters in Central America, Caribbean and South America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/162294151/900
btywar,"A warbler in grayscale except for a small yellow spot in front of eye. Note black-and-white head with a gray back, white wingbars, and white underparts with dark streaks. Breeds in coniferous forests where they forage for insects; in migration and winter, found in variety of wooded areas. Winters mainly in Mexico.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64896271/900
buffle,"Small, compact diving duck with large head and small gray bill. Breeding males are black and white with large white patch on back of head. Females and immature males are gray-brown with white patch on cheek. Much smaller than Common Goldeneye with which it often associates. Found in bays, estuaries, reservoirs, and lakes in winter. Travels to boreal forest and nests in cavities in summer.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/216531741/900
buggna,"Tiny, long-tailed, with a thin bill. Soft blue-gray upperparts and slightly paler underparts. Note the thin white eyering. Males have black forehead. Forages for insects with diverse songbird flocks in a variety of wooded or brushy habitats. Active and twitchy; tail often seems loose. When separating from Black-tailed Gnatcatcher, try to confirm tail pattern from below: nearly all white, not black.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68033861/900
buhvir,"Attractive vireo with thick white spectacles that contrast with slaty-blue head. Also note greenish back with two bold white wingbars, yellowish sides, white throat, and white belly. Thicker bill than warblers and slightly hooked at the tip. Found in forested areas, typically mixed coniferous and deciduous. Often in flocks with other small songbirds. Blue-headed is brighter with more contrasting plumage. Song is sweeter and slower than other vireos in breeding range.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65761591/900
bulori,"Adult males are bright orange with black restricted to the back, throat, and crown. Prominent white wing patch. Females have yellow-orange head and grayish back. Immature males similar to females, but with black throat. Breeds in riparian corridors and open woods. Visits feeders with nectar and fruits. Sometimes hybridizes with Baltimore Oriole.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67358881/900
bushti,"Tiny, long-tailed, fluffy gray balls that are constantly in motion. Active, twittering flocks move quickly through landscapes with low bushes. Distinctly drab gray-brown, always scruffy. In flocks, except when building their nest, a hanging clump of mossy vegetation. Short, black bill. There are multiple populations that differ slightly: eye color ranges from dark to pale, and some have black cheek.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68041771/900
buwtea,"Small duck with chalky-blue patches on the upperwing. Breeding males have a white crescent in front of eye. Females are patterned, cold brown, and show a hint of the male's white crescent on face. Black bill. Forages by dabbling and tipping-up in shallow wetlands. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60292801/900
buwwar,"Small, yellow warbler found in scrubby or cut-over habitats with some large trees, including field edges or powerline cuts. Yellow overall with black line through eye. Blue-gray wings with two whitish wingbars; sharply pointed bill. Adult males brighter than females and immatures. Two-note buzzy song sounds rather insect-like. Winters in Central America. Hybridizes with Golden-winged Warbler.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65533581/900
cacwre,"Large wren, with bold white eyebrow and dense spots on the breast. Aptly named, this wren rarely strays from desert scrub or coastal sagebrush scrub. Builds large, oval nest of sticks. Listen for harsh, grating call.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68034441/900
calgul,"Medium-sized gull; a bit larger than Ring-billed Gull and smaller than Herring Gull. Gray back on adults is slightly darker than Herring Gull. Adults show both red and black spots on the bill. Immatures are confusing; brownish and rather pale headed with a black-tipped pink bill. Frequents open habitats, including parking lots, beaches, inland lakes, and open ocean. Scavenges opportunistically for scraps of food. Breeds inland on islands in lakes or rivers.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/71318281/900
calqua,"Gray overall with scaly belly and neck. Look for curved feathers on top of head. Males have black face. Often runs along ground in small groups. Listen for frequent, three-noted call, audible at long distances. Separated from similar Gambel's Quail by range.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65610021/900
camwar,"Small warbler with sharp bill that is very slightly downcurved. Plumages variable. Bright adult males are yellow below with black streaks, orange cheek patch, and white patch on wing. Dullest immature females are entirely gray with indistinct streaking below, usually with a hint of paler neck sides and greenish edges to wing feathers. Breeds in boreal forest of far northern U.S. and Canada. Winters in the Caribbean and Central America. Even in migration, shows a heavy preference for spruce trees.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64516241/900
cangoo,"Black head and neck with a white chinstrap. Brown body, varies in shades geographically. Typically in large flocks, pairs or family groups. Grazes on land and up-ends in the water to reach submerged aquatic vegetation. Listen for loud ‘honk.’

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/59953191/900
canwar,"Spiffy warbler found in boggy areas. Blue-gray above and yellow below with distinctive yellow spectacles and necklace of black streaks. Legs are pale orange. Females show fainter necklace than males. Typically found in low vegetation, especially wet woods and thickets. Nests on the ground. Feeds on insects. One of the longest-distance migrant warblers; winters in South America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64913361/900
canwre,"Subtly beautiful wren found in picturesque canyonlands and rocky outcroppings of the western U.S. and Mexico. Exceptional songster most often located by rich cascading song, or harsh call notes. Rich orangey-brown body with tiny black-and-white spots, bright white throat, and thin decurved bill. Most similar to Rock Wren; note more contrasting white throat. Almost always on the ground or cliffs, running up and down rocks, repeatedly disappearing from view only to suddenly pop up atop a lookout. Feeds on insects. Nests in crevice or under ledge on cliff.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68036991/900
carwre,"Bold white eyebrow. Warm brown above, buffy-orange underparts. Slightly decurved bill. Tail is about as long as body and often cocked up. Usually in hiding in dense vegetation, tangled understory, or brush piles in forested areas. Nests in peculiar places around backyards, such as tucked in a drainpipe or grill. Occasionally feeds on suet or mealworms at feeding stations. Listen for loud, ringing song and variety of calls. Unlike House Wren they are not migratory and stay nearby their breeding grounds year-round.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/59867271/900
casfin,"Males have red concentrated on crown (brighter than throat) with pinkish wash coming into breast; flanks are pale with only a few fine streaks. Females are similar to Purple Finch but with more diffuse face pattern and finer streaks on flanks. Both sexes tend to show more peaked head and longer bill than House and Purple Finch. Found in mountainous regions, mainly in coniferous forests, drifting to lower elevations in winter. Visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67283591/900
caster1,"Largest tern in the world. Thick, bright-red bill is distinctive. Note solid black cap in summer, which turns to black streaks in winter. Feeds by cruising over lakes, rivers, estuaries, and reservoirs looking for fish, then plunging to catch them. Smooth wingbeats, more gull-like than choppy flight of small-bodied terns. Very vocal, giving loud raucous screams.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/169902221/900
casvir,"Fairly dull vireo, grayish overall, but with dull yellow flanks and greenish back. Note white spectacles contrasting with gray head and two whitish wingbars. Relatively thick bill and slower movements separates this vireo from other small songbirds. Breeds in dry forests and mixed coniferous forests, especially in mountainous areas.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65761191/900
cedwax,"This medium-sized passerine is brown overall with a pale yellow wash on the belly. It is named for the waxy red tips on some of the wing feathers. Also look for the yellow-tipped tail, sleek crest, short bill, and black mask and throat bordered by white. Thin, high-pitched call is distinctive. Usually in flocks in open woods and edges of woodlands. Often perches in tops of leafless trees. Shifts diet from insects to primarily berries in the fall and winter.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/59874471/900
chispa,"Small, slender sparrow with short bill and long, narrow tail. Plain grayish breast with rusty cap in breeding season. Common in suburban areas, particularly golf courses, parking lots and areas with short trees in grassy areas. In winter, beware similar Clay-colored, American Tree, and Brewer's Sparrows, but look for gray rump and dark eyeline in front of eye. Visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64972021/900
chiswi,The ,https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66113881/900
chswar,"Breeding birds show yellow cap, black triangle under eye, streaked back and reddish-brown sides. Looks remarkably different in fall with distinctive lime green above and gray below with bold white eyering. Breeds mainly in secondary forests, especially areas with large shrubs and young trees. Does well in disturbed habitats, particularly power line cuts and areas that have been logged. Forages for insects. Winters in Central America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64803561/900
chukar,"Quail-like bird, often in small flocks on dry rocky slopes with sparse grass and brush. Male and female similar. Pale brownish-gray overall with warmer orange belly and undertail. Distinct black stripes on sides. Red bill and eyering. Pale throat is bordered by black. Usually seen scurrying around on the ground, but males perch conspicuously when singing, often on large rocks. Song is a series of scratchy notes; sounds like it's saying its name with emphasis on the second syllable: ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/39398791/900
clanut,"This relative of jays and crows is pale gray with a whitish face and black wings. Sexes are similar; juveniles are browner than adults. Found almost exclusively in coniferous forests at high elevations; feeds on pine cone seeds and stashes thousands of them in various places to eat later in the winter. Often found in flocks. Sometimes visits feeders. Similar in color to Canada Jay, but especially note bill shape: long, slender, and sharply pointed.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70580641/900
cliswa,"Compact swallow with a short tail. Looks slightly rounder winged than other swallows. Nests under bridges, overpasses, and culverts. Often sticks out among a flock of other swallows with its pale orangey rump. Cave Swallow also has a pale rump, but note Cliff's darker throat, white forehead, and different range.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68122541/900
comgol,"Large duck; about the size of a Mallard. Breeding males have a black head with circular white patch at the base of the bill, black back and white body. Females and first-year males have gray body and chocolate brown head. Bright yellow eyes. Found along both coasts of the U.S. and Canada and the Great Lakes in winter months, feeding on mussels and other aquatic invertebrates. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63907721/900
comgra,"Lanky, fierce-looking, glossy blackbird. A bit larger than a jay; smaller, proportionally longer-tailed and shorter-winged than a crow. Staring yellow eye and long heavy bill (compared to Red-winged Blackbird). Often in flocks with other blackbirds in winter. Forages in fields, scrubby areas, and open woods. Visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67364561/900
comloo,"Large-bodied diving waterbird, breeds on floating mats of vegetation on lakes and ponds in the boreal forest. In winter, mostly found on bays and open ocean, singly or in loose flocks. Breeding adults have gorgeous black-and-white patterning. During the winter, plain gray above and white below. Note heavy bill held straight. Dives to catch fish in deep, clear water. Their haunting, yodeling vocalizations are classic sounds of northern lakes and ponds.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63918061/900
commer,"Large duck with a sleek body and thin red bill. Breeding males have a dark green head and mostly white body with peachy blush on underparts. Females and immature males have rusty brown head and gray bodies with a cleanly demarcated white throat. Feeds in rivers, lakes, and large ponds by diving to catch fish. Hardy in winter, often staying as far north as open water permits.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63910971/900
